,user_id,user_screen_name,user_description,user_follower_count,user_friend_count,user_account_creation_date,user_tweet,fakebot_screen_name
0,2892439622,😂LIBERALSARE🥜🥜🤪⭐️⭐️⭐️,🇺🇸#Patriot 🇺🇸 #MAGA #QArmy #WalkAway #WWG1WGA #TrumpTrain #NoDACA #BuildThatWall #FakeNews #MOAB #InternetBillOfRights #IBOR #QAnon #VoteRedToSaveAmerica,7328,7917,2014-11-07 03:56:36,@f196867 @marklatelle8 @mikebonnel @usedupcop @PaulBochamp @Up_Yours2 @ClayMMA1 @RidenHood1 @usvetram… https://t.co/baW2p4iAZl,Politweecs
1,370365178,Loren F,"American, Christian, Conservative.Happily married to a feisty woman. Proud father of 2. I follow everyone back except liberals, cuz they're nuts . M🇺🇸G🇺🇸",6300,6697,2011-09-08 22:16:27,RT @TRUMPTARIAN: @citizenx1320 @GeraldYak420 @ArieFriedman @jwsnyder00_john @KCarslin @TheFoundingSon @WDFx2EU7 @DutchWarrant @CarmineZozzo…,TheFoundingSon
2,4740364893,Trumpeter Cannon,Irish/Italian AMERICAN way before the Potato Famine of the Isles.,302,395,2016-01-08 02:51:04,@citizenx1320 @GeraldYak420 @ArieFriedman @jwsnyder00_john @KCarslin @TheFoundingSon @WDFx2EU7 @DutchWarrant… https://t.co/IfyxOzDvyd,TheFoundingSon
3,4740364893,Trumpeter Cannon,Irish/Italian AMERICAN way before the Potato Famine of the Isles.,302,395,2016-01-08 02:51:04,@SarCatStyX @Leslieannscott @katerabenaldt @MAGA_Mack @peacemaker4u @gerfingerpoken @MiltonWolfMD @SandraTXAS… https://t.co/1ihqvAG7wI,TheFoundingSon
4,2908621273,Maria🌹,"▪️Wife▪️Mother▪️Daughter▪️ My interests include horror, hockey, sharks, writing, surrealism & movies where people run a lot. Dark Tower junkie. ➡️#RESIST.⬅️",2118,2150,2014-11-24 01:53:59,"The Russian troll @blackmattersus has been suspended, but just keep in mind that there are still many of these Russ… https://t.co/agLzMg76qJ",blackmattersus
5,381971674,"Rhonda Little, MD",Critical thinker. Tweets/retweets are not medical advice and not necessarily a personal opinion.,3187,4969,2011-09-29 08:15:14,RT @lovetogive2: @BenefitVBurden @mikefarb1 @RVAwonk @MLive @MLiveDetroit @Monte_Alto @MtnMD @MuskegonChron @freep @DetroitDailyNew 👉#Romne…,DetroitDailyNew
6,482529659,Lovetogive2,A supporter of our Democracy! #GOPComplicit #ElectionFraud #ProtectOurVotes #LeaveCrosscheck #TrumpRussia #FarRightCoup #TheResistance #ShePersists #WaterIsLife,9338,10252,2012-02-04 01:06:40,RT @lovetogive2: @BenefitVBurden @mikefarb1 @RVAwonk @MLive @MLiveDetroit @Monte_Alto @MtnMD @MuskegonChron @freep @DetroitDailyNew 👉#Romne…,DetroitDailyNew
7,482529659,Lovetogive2,A supporter of our Democracy! #GOPComplicit #ElectionFraud #ProtectOurVotes #LeaveCrosscheck #TrumpRussia #FarRightCoup #TheResistance #ShePersists #WaterIsLife,9338,10252,2012-02-04 01:06:40,RT @lovetogive2: @iamsarabourne @BenefitVBurden @mikefarb1 @RVAwonk @MLive @MLiveDetroit @Monte_Alto @MtnMD @MuskegonChron @freep @DetroitD…,DetroitDailyNew
8,911242297,Sara Chirico,"wife, proud mom with 5 precious grandkids .... would love more kindness in our world #TRUMPRUSSIA #PaperBallots #Treasongate
#PAMFAM",582,1454,2012-10-28 22:30:21,RT @lovetogive2: @BenefitVBurden @mikefarb1 @RVAwonk @MLive @MLiveDetroit @Monte_Alto @MtnMD @MuskegonChron @freep @DetroitDailyNew 👉#Romne…,DetroitDailyNew
9,482529659,Lovetogive2,A supporter of our Democracy! #GOPComplicit #ElectionFraud #ProtectOurVotes #LeaveCrosscheck #TrumpRussia #FarRightCoup #TheResistance #ShePersists #WaterIsLife,9338,10252,2012-02-04 01:06:40,RT @lovetogive2: @iamsarabourne @BenefitVBurden @mikefarb1 @RVAwonk @MLive @MLiveDetroit @Monte_Alto @MtnMD @MuskegonChron @freep @DetroitD…,DetroitDailyNew
10,482529659,Lovetogive2,A supporter of our Democracy! #GOPComplicit #ElectionFraud #ProtectOurVotes #LeaveCrosscheck #TrumpRussia #FarRightCoup #TheResistance #ShePersists #WaterIsLife,9338,10252,2012-02-04 01:06:40,RT @lovetogive2: @iamsarabourne @BenefitVBurden @mikefarb1 @RVAwonk @MLive @MLiveDetroit @Monte_Alto @MtnMD @MuskegonChron @freep @DetroitD…,DetroitDailyNew
